CMDLINE C:\Users\Dhuns\AppData\Local\Programs\Python\Python312\python.exe src\app.py
MEM 1550.070312 1709361667.1458
MEM 1550.070312 1709361667.2506
MEM 1550.070312 1709361667.3536
MEM 1550.070312 1709361667.4540
MEM 1550.070312 1709361667.5547
MEM 1550.070312 1709361667.6552
MEM 1550.070312 1709361667.7555
MEM 1550.070312 1709361667.8563
MEM 1550.070312 1709361667.9578
MEM 1550.070312 1709361668.0583
MEM 1550.070312 1709361668.1590
MEM 1550.070312 1709361668.2596
MEM 1550.070312 1709361668.3611
MEM 1550.070312 1709361668.4615
MEM 1550.070312 1709361668.5618
MEM 1550.070312 1709361668.6624
MEM 1550.070312 1709361668.7628
MEM 1550.070312 1709361668.8635
MEM 1550.070312 1709361668.9649
MEM 1550.070312 1709361669.0656
MEM 1550.070312 1709361669.1664
MEM 1550.070312 1709361669.2668
MEM 1550.070312 1709361669.3674
MEM 1550.070312 1709361669.4679
MEM 1550.070312 1709361669.5688
MEM 1550.070312 1709361669.6720
MEM 1550.070312 1709361669.7723
MEM 1550.070312 1709361669.8726
MEM 1550.070312 1709361669.9729
MEM 1550.070312 1709361670.0733
MEM 1550.070312 1709361670.1739
MEM 1550.070312 1709361670.2746
MEM 1550.070312 1709361670.3754
MEM 1550.070312 1709361670.4758
MEM 1550.070312 1709361670.5765
MEM 1550.070312 1709361670.6767
MEM 1550.070312 1709361670.7771
MEM 1550.070312 1709361670.8777
MEM 1550.070312 1709361670.9782
MEM 1550.070312 1709361671.0784
MEM 1550.070312 1709361671.1789
MEM 1550.070312 1709361671.2791
MEM 1550.070312 1709361671.3795
MEM 1550.070312 1709361671.4802
MEM 1550.070312 1709361671.5807
MEM 1550.070312 1709361671.6815
MEM 1550.070312 1709361671.7819
MEM 1550.070312 1709361671.8823
MEM 1550.070312 1709361671.9827
MEM 1550.070312 1709361672.0830
MEM 1550.070312 1709361672.1836
MEM 1550.070312 1709361672.2844
MEM 1550.070312 1709361672.3850
MEM 1550.070312 1709361672.4852
MEM 1550.070312 1709361672.5858
MEM 1550.070312 1709361672.6864
MEM 1550.070312 1709361672.7866
MEM 1550.070312 1709361672.8872
MEM 1550.070312 1709361672.9875
MEM 1550.070312 1709361673.0881
MEM 1550.070312 1709361673.1884
MEM 1550.070312 1709361673.2896
MEM 1550.070312 1709361673.3908
MEM 1550.070312 1709361673.4913
MEM 1550.070312 1709361673.5916
MEM 1550.070312 1709361673.6922
MEM 1550.070312 1709361673.7929
MEM 1550.070312 1709361673.8932
MEM 1550.070312 1709361674.0147
MEM 1550.070312 1709361674.1148
MEM 1550.070312 1709361674.2152
MEM 1550.070312 1709361674.3158
MEM 1550.070312 1709361674.4164
MEM 1550.070312 1709361674.5170
MEM 1550.070312 1709361674.6176
MEM 1550.070312 1709361674.7181
MEM 1550.070312 1709361674.8191
MEM 1550.070312 1709361674.9202
MEM 1550.070312 1709361675.0209
MEM 1550.070312 1709361675.1218
MEM 1550.070312 1709361675.2222
MEM 1550.226562 1709361675.3229
MEM 1550.160156 1709361675.4232
MEM 1550.160156 1709361675.5236
MEM 1550.160156 1709361675.6238
MEM 1550.179688 1709361675.7242
MEM 1550.179688 1709361675.8249
MEM 1550.183594 1709361675.9252
MEM 1606.890625 1709361676.0258
MEM 1581.917969 1709361676.1265
MEM 1575.050781 1709361676.2271
MEM 1592.199219 1709361676.3277
MEM 1595.539062 1709361676.4280
MEM 1596.457031 1709361676.5285
MEM 1608.691406 1709361676.6292
MEM 1610.992188 1709361676.7303
MEM 1622.484375 1709361676.8308
MEM 1681.863281 1709361676.9312
MEM 1833.656250 1709361677.0315
MEM 1746.855469 1709361677.1319
MEM 1781.890625 1709361677.2322
MEM 1749.628906 1709361677.3324
MEM 1630.406250 1709361677.4329
MEM 1630.406250 1709361677.5333
MEM 1630.406250 1709361677.6359
MEM 1630.406250 1709361677.7363
MEM 1630.406250 1709361677.8368
MEM 1630.406250 1709361677.9372
MEM 1630.406250 1709361678.0378
MEM 1630.406250 1709361678.1385
MEM 1630.406250 1709361678.2390
MEM 1630.406250 1709361678.3394
MEM 1630.406250 1709361678.4402
MEM 1630.406250 1709361678.5409
MEM 1630.406250 1709361678.6413
MEM 1630.406250 1709361678.7416
MEM 1630.406250 1709361678.8423
MEM 1630.406250 1709361678.9430
MEM 1630.406250 1709361679.0437
MEM 1630.406250 1709361679.1442
MEM 1630.406250 1709361679.2446
MEM 1630.406250 1709361679.3453
MEM 1630.406250 1709361679.4459
MEM 1630.406250 1709361679.5464
MEM 1630.406250 1709361679.6469
MEM 1630.406250 1709361679.7475
MEM 1630.406250 1709361679.8480
MEM 1630.406250 1709361679.9486
MEM 1630.406250 1709361680.0502
MEM 1630.406250 1709361680.1511
MEM 1630.406250 1709361680.2517
MEM 1630.406250 1709361680.3525
MEM 1630.406250 1709361680.4531
MEM 1630.406250 1709361680.5538
MEM 1630.406250 1709361680.6542
MEM 1630.406250 1709361680.7550
MEM 1630.406250 1709361680.8555
MEM 1630.406250 1709361680.9561
MEM 1630.406250 1709361681.0565
MEM 1630.406250 1709361681.1569
MEM 1630.406250 1709361681.2579
MEM 1630.406250 1709361681.3583
MEM 1630.406250 1709361681.4588
MEM 1630.406250 1709361681.5592
MEM 1630.406250 1709361681.6597
MEM 1630.406250 1709361681.7635
MEM 1630.406250 1709361681.8643
MEM 1630.406250 1709361681.9648
MEM 1630.406250 1709361682.0658
MEM 1630.406250 1709361682.1665
MEM 1630.406250 1709361682.2676
MEM 1630.406250 1709361682.3684
MEM 1630.406250 1709361682.4692
MEM 1630.406250 1709361682.5697
MEM 1630.406250 1709361682.6705
MEM 1630.406250 1709361682.7711
MEM 1630.406250 1709361682.8716
MEM 1630.406250 1709361682.9724
MEM 1630.406250 1709361683.0730
MEM 1630.406250 1709361683.1732
MEM 1630.406250 1709361683.2738
MEM 1630.406250 1709361683.3743
MEM 1630.406250 1709361683.4750
MEM 1630.406250 1709361683.5755
MEM 1630.406250 1709361683.6760
MEM 1630.406250 1709361683.7769
MEM 1630.406250 1709361683.8773
MEM 1630.406250 1709361683.9780
MEM 1630.406250 1709361684.0784
MEM 1630.406250 1709361684.1788
MEM 1630.406250 1709361684.2798
MEM 1630.406250 1709361684.3808
MEM 1630.406250 1709361684.4813
MEM 1630.406250 1709361684.5820
MEM 1630.406250 1709361684.6827
MEM 1630.406250 1709361684.7835
MEM 1630.406250 1709361684.8841
MEM 1630.406250 1709361684.9845
MEM 1630.406250 1709361685.0852
MEM 1630.406250 1709361685.1862
MEM 1630.406250 1709361685.2869
MEM 1630.406250 1709361685.3963
MEM 1630.406250 1709361685.4989
MEM 1630.406250 1709361685.6004
MEM 1630.406250 1709361685.7010
MEM 1630.406250 1709361685.8015
MEM 1630.406250 1709361685.9022
MEM 1630.406250 1709361686.0028
MEM 1630.406250 1709361686.1033
MEM 1630.406250 1709361686.2044
MEM 1630.406250 1709361686.3050
MEM 1630.406250 1709361686.4060
MEM 1630.406250 1709361686.5137
MEM 1630.406250 1709361686.6175
MEM 1630.406250 1709361686.7178
MEM 1630.406250 1709361686.8183
MEM 1630.406250 1709361686.9192
MEM 1630.406250 1709361687.0195
MEM 1630.406250 1709361687.1198
MEM 1630.406250 1709361687.2206
MEM 1630.406250 1709361687.3653
MEM 1630.406250 1709361687.4667
MEM 1630.406250 1709361687.5672
MEM 1630.406250 1709361687.6679
MEM 1630.406250 1709361687.7683
MEM 1630.406250 1709361687.8694
MEM 1630.406250 1709361687.9696
